DICTATOR,0.50,0.51,0.54,0.53,0.5,0.51,0.52,0.57,0.56,0.56,0.51,0.56,0.57,0.52,0.56,0.54,0.59,0.61,0.58,0.58,0.59,0.64,0.69
URIEN,0.49,0.50,0.52,0.54,0.53,0.51,0.56,0.52,0.52,0.55,0.56,0.55,0.55,0.56,0.56,0.56,0.54,0.57,0.59,0.62,0.58,0.62,0.68
BOXER,0.46,0.48,0.50,0.55,0.47,0.51,0.5,0.54,0.53,0.55,0.47,0.54,0.51,0.5,0.55,0.55,0.56,0.59,0.57,0.57,0.58,0.62,0.67
DHALSIM,0.47,0.46,0.45,0.50,0.48,0.5,0.52,0.55,0.53,0.51,0.65,0.52,0.5,0.52,0.53,0.48,0.57,0.56,0.6,0.57,0.57,0.57,0.67
LAURA,0.5,0.47,0.53,0.52,0.50,0.53,0.51,0.51,0.55,0.51,0.48,0.51,0.54,0.54,0.52,0.53,0.57,0.52,0.55,0.55,0.55,0.57,0.62
CLAW,0.49,0.49,0.49,0.5,0.47,0.50,0.48,0.49,0.52,0.52,0.53,0.54,0.55,0.52,0.53,0.53,0.55,0.55,0.54,0.54,0.55,0.61,0.65
BIRDIE,0.48,0.44,0.5,0.48,0.49,0.52,0.50,0.49,0.49,0.54,0.56,0.55,0.51,0.53,0.54,0.48,0.51,0.57,0.55,0.56,0.56,0.6,0.64
GUILE,0.43,0.48,0.46,0.45,0.49,0.51,0.51,0.50,0.5,0.48,0.54,0.48,0.48,0.5,0.47,0.55,0.52,0.55,0.53,0.55,0.56,0.54,0.65
F.A.N.G,0.44,0.48,0.47,0.47,0.45,0.48,0.51,0.5,0.50,0.48,0.48,0.51,0.51,0.5,0.52,0.51,0.51,0.54,0.55,0.52,0.55,0.57,0.63
NECALLI,0.44,0.45,0.45,0.49,0.49,0.48,0.46,0.52,0.52,0.50,0.49,0.49,0.5,0.5,0.51,0.51,0.53,0.54,0.52,0.54,0.54,0.56,0.6
ZANGIEF,0.49,0.44,0.53,0.35,0.52,0.47,0.44,0.46,0.52,0.51,0.50,0.52,0.5,0.53,0.52,0.5,0.45,0.53,0.52,0.56,0.53,0.57,0.64
IBUKI,0.44,0.45,0.46,0.48,0.49,0.46,0.45,0.52,0.49,0.51,0.48,0.50,0.5,0.51,0.52,0.49,0.53,0.53,0.53,0.53,0.54,0.55,0.63
ALEX,0.43,0.45,0.49,0.5,0.46,0.45,0.49,0.52,0.49,0.5,0.5,0.5,0.50,0.49,0.5,0.49,0.53,0.53,0.51,0.53,0.52,0.56,0.62
RAINBOW MIKA,0.48,0.44,0.5,0.48,0.46,0.48,0.47,0.5,0.5,0.5,0.47,0.49,0.51,0.50,0.48,0.5,0.52,0.51,0.53,0.53,0.53,0.54,0.59
KARIN,0.44,0.44,0.46,0.47,0.48,0.47,0.46,0.53,0.48,0.49,0.48,0.48,0.5,0.52,0.50,0.51,0.52,0.53,0.51,0.54,0.53,0.56,0.61
RASHID,0.46,0.44,0.45,0.52,0.47,0.47,0.52,0.45,0.49,0.49,0.5,0.51,0.51,0.5,0.49,0.50,0.51,0.5,0.53,0.52,0.5,0.55,0.59
NASH,0.41,0.46,0.44,0.43,0.43,0.45,0.49,0.48,0.49,0.47,0.55,0.47,0.47,0.48,0.48,0.49,0.50,0.54,0.53,0.52,0.54,0.53,0.59
RYU,0.39,0.43,0.41,0.44,0.48,0.45,0.43,0.45,0.46,0.46,0.47,0.47,0.47,0.49,0.47,0.5,0.46,0.50,0.49,0.5,0.51,0.52,0.55
CHUN-LI,0.42,0.41,0.43,0.4,0.46,0.46,0.45,0.47,0.45,0.48,0.48,0.47,0.49,0.47,0.49,0.47,0.47,0.51,0.50,0.49,0.49,0.52,0.54
CAMMY,0.42,0.38,0.43,0.43,0.45,0.46,0.44,0.45,0.48,0.46,0.44,0.47,0.47,0.47,0.46,0.48,0.48,0.5,0.51,0.50,0.5,0.52,0.57
KEN,0.41,0.42,0.42,0.43,0.45,0.45,0.44,0.44,0.45,0.46,0.47,0.46,0.48,0.47,0.47,0.5,0.46,0.49,0.51,0.5,0.50,0.51,0.54
JURI,0.36,0.38,0.38,0.43,0.43,0.39,0.4,0.46,0.43,0.44,0.43,0.45,0.44,0.46,0.44,0.45,0.47,0.48,0.48,0.48,0.49,0.50,0.57
GOUKI,0.31,0.32,0.33,0.33,0.38,0.35,0.36,0.35,0.37,0.4,0.36,0.37,0.38,0.41,0.39,0.41,0.41,0.45,0.46,0.43,0.46,0.43,0.50
